Date,IBM,JPM,GS,CVX,AXP,BA
2020-01-01,0.3305951484104705,0.33059390687644746,0.442889933076381,0.3533209697294538,0.3638467079760852,0.3051012699767747
2020-01-02,0.3293212354670212,0.3202423872111956,0.39503396050907125,0.42303739879042557,0.27663383868075936,0.37198351637894583
2020-01-03,0.37860136185191806,0.26546050893673373,0.3183205619800018,0.33481056371969764,0.11727791085429667,0.06584821764565926
2020-01-04,0.23512527398512187,0.3362370413251749,0.3150834520731145,0.23366385305378207,0.4162720726232757,0.1714199957217227
2020-01-05,0.3180834655130069,0.3144836196044058,0.3628376228943716,0.2697792871473659,0.20603475708939223,0.324878638087353
2020-01-06,0.25152399694358063,0.39470492501508264,0.26614691536728,0.2644138222342587,0.31515891033429994,0.43887801178168734
2020-01-07,0.34982638787110343,0.40363826225813604,0.3690364084639247,0.3323299260527673,0.183277651542894,0.04490538727158718
2020-01-08,0.424511953094219,0.3127927196702787,0.2789771066558347,0.3069488326750698,0.16147414802880564,0.29145293826025426
2020-01-09,0.39954380941781203,0.28183845360357496,0.3114854572930233,0.3423169795356682,0.3408873691848082,0.10884848291025148
2020-01-10,0.4207035089174889,0.3708099506241945,0.3089117988053062,0.3892942025317068,0.24091310433197294,0.3828367876207953
2020-01-11,0.4451813031597738,0.40308429016538355,0.2537493238132083,0.2757558487280651,0.21138413209060558,0.3011927143322181
2020-01-12,0.4550682631755804,0.3733149175333234,0.2885387137283154,0.31048267893875064,0.34363032644454083,0.3875263150995055
2020-01-13,0.3440527743276116,0.3619754446716795,0.4055098625683725,0.31338267030022965,0.03162277660168379,0.42217553551893594
2020-01-14,0.3221315655382299,0.4299570836819795,0.39002906522293873,0.3234007403002892,0.2983561723982335,0.03162277660168379
2020-01-15,0.39029387470692595,0.31936469050265226,0.36292144891401457,0.2440805601749976,0.38179851477592697,0.27370083635380654
2020-01-16,0.23989331606328032,0.3248475109331678,0.3229230639957042,0.3238114844587851,0.254749573711385,0.38526906121131044
2020-01-17,0.3090011831218182,0.21765390308017651,0.3369596397344116,0.338830361469023,0.31663176219722977,0.3362331982553098
2020-01-18,0.36130723731803355,0.45868314398725085,0.3779708971370955,0.28786155383041606,0.3032090275976287,0.2447164410882911
2020-01-19,0.5022018945561115,0.36596550847034337,0.3448900111480371,0.3359724981842089,0.0637294220517331,0.3102864873172721
2020-01-20,0.4255268052885634,0.4149873412887611,0.2511748007248376,0.30063591229416337,0.31347154817421286,0.3392305515673384
2020-01-21,0.4870500086471832,0.39649418016522076,0.21845837503737459,0.3735660548713606,0.4124799577516524,0.23351793776980614
2020-01-22,0.3708767318565372,0.23905862947029677,0.2916362223432017,0.22466237723184893,0.3240101360364859,0.26774075804752145
2020-01-23,0.3287081314907722,0.278038215482635,0.43951154731260983,0.21652901494648416,0.2324409350529933,0.35168113616137997
2020-01-24,0.3748614356416106,0.1816013783234295,0.4438942890930337,0.3750678083606796,0.3337259305630992,0.1961040136720874
2020-01-25,0.38804661457600975,0.37750662748867253,0.23984799718271027,0.3361460095143496,0.19532655850164338,0.3729492506881674
2020-01-26,0.29556825217732274,0.3660556829927188,0.3623182377305792,0.33544692950941407,0.25690224584669447,0.3425235911216172
2020-01-27,0.40246854186879055,0.2693170041108295,0.39709869304543877,0.4396461367477688,0.20108412453465233,0.3516982315076227
2020-01-28,0.47898879019388174,0.3951401125256567,0.3857161497179285,0.3974037983592636,0.38492701446146393,0.2428289193700258
